id,title,severity,active,verified,is_mitigated,false_p,cwe,test,found_by,sla_days_remaining,sla_expiration_date,created
1243,License Detected in Node.js - LGPL-3.0-only,High,True,False,False,False,0,3,[208],30,2026-05-13,2026-04-13T17:10:57.068672Z
1244,License Detected in Node.js - LGPL-3.0-only,High,True,False,False,False,0,3,[208],30,2026-05-13,2026-04-13T17:10:57.074858Z
1245,License Detected in Node.js - LGPL-3.0-only,High,True,False,False,False,0,3,[208],30,2026-05-13,2026-04-13T17:10:57.082032Z
1246,License Detected in Node.js - LGPL-3.0-only,High,True,False,False,False,0,3,[208],30,2026-05-13,2026-04-13T17:10:57.088601Z
1247,License Detected in Node.js - BSD-2-Clause,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.094735Z
1248,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.101539Z
1249,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.107844Z
1250,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.114738Z
1251,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.121226Z
1252,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.127327Z
1253,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.134353Z
1254,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.140890Z
1255,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.148200Z
1256,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.154704Z
1257,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.161048Z
1258,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.167576Z
1259,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.175131Z
1260,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.181608Z
1261,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.187825Z
1262,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.194682Z
1263,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.201448Z
1264,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.207447Z
1265,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.213855Z
1266,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.220593Z
1267,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.226815Z
1268,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.233497Z
1269,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.239940Z
1270,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.246541Z
1271,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.253579Z
1272,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.261474Z
1273,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.268559Z
1274,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.274596Z
1275,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.281025Z
1276,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.287728Z
1277,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.293873Z
1278,License Detected in Node.js - BlueOak-1.0.0,Info,True,False,False,False,0,3,[208],,,2026-04-13T17:10:57.300426Z
1279,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.306885Z
1280,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.313242Z
1281,License Detected in Node.js - ISC,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.319487Z
1282,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.326005Z
1283,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.333057Z
1284,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.339976Z
1285,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.346695Z
1286,License Detected in Node.js - MIT,Low,True,False,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:57.353202Z
1287,Wildcard DNS Configuration - Detection,Info,True,False,False,False,200,4,[144],,,2026-04-13T17:10:58.304592Z
1288,Public Swagger API - Detect,Info,True,False,False,False,200,4,[144],,,2026-04-13T17:10:58.337524Z
1289,Dameng Database - Detect,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.364343Z
1290,SNMPv3 Fingerprint - Detect,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.392199Z
1291,X-Recruiting Header,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.413826Z
1292,Add DOM EventListener - Detection,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.443971Z
1293,Deprecated Feature-Policy Header - Detection,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.462891Z
1294,OWASP Juice Shop,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.488691Z
1295,robots.txt File,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.505986Z
1296,FingerprintHub Technology Fingerprint,Info,True,False,False,False,200,4,[144],,,2026-04-13T17:10:58.521287Z
1297,Missing Subresource Integrity,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.533514Z
1298,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.558821Z
1299,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.575561Z
1300,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.593720Z
1301,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.612787Z
1302,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.635035Z
1303,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.655658Z
1304,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.673671Z
1305,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.689959Z
1306,HTTP Missing Security Headers,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.707222Z
1307,Prometheus Metrics - Detect,Medium,True,False,False,False,200,4,[144],49,2026-06-01,2026-04-13T17:10:58.725077Z
1308,robots.txt Endpoint Prober,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.749726Z
1309,security.txt File,Info,True,False,False,False,0,4,[144],,,2026-04-13T17:10:58.763997Z
1310,CAA Record,Info,True,False,False,False,200,4,[144],,,2026-04-13T17:10:58.779435Z
